domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2013-2015,F0,P1,P1,0.0489695739528718,0.0489124618935713,0.0443819447523462,0.0549051864174462,5000
pain,2013-2015,F0,P1,P2,0.2558388028411767,0.2534931678109754,0.2273398164592298,0.2818915794667804,5000
pain,2013-2015,F0,P1,D,0.012406539165842,0.0128098778917999,0.0105172958406517,0.0275505287931303,5000
pain,2013-2015,F0,P2,P0,0.524267010569428,0.5259908276298112,0.4979495199006025,0.5567619599999886,5000
pain,2013-2015,F0,P2,P1,0.0535122658020493,0.053235685736644,0.0457233596731706,0.0630511819446654,5000
pain,2013-2015,F0,P2,P2,0.4133951382670767,0.4105082262215106,0.3749091005935592,0.4415183074262249,5000
pain,2013-2015,F0,P2,D,0.0088255853614454,0.0094632933140506,0.0074937364218888,0.0159855494443412,5000
pain,2013-2015,F1,P0,P0,0.7204605606249468,0.7211520610584914,0.690161348228804,0.7481158130285527,5000
pain,2013-2015,F1,P0,P1,0.0483258037970614,0.0480194745094176,0.0415959752341212,0.0555681205865704,5000
pain,2013-2015,F1,P0,P2,0.2122185235287917,0.2092208096288851,0.1833578158501109,0.2385249929209288,5000
pain,2013-2015,F1,P0,D,0.0189951120491999,0.0203920265442923,0.0154082206136606,0.03249294715048,5000
pain,2013-2015,F1,P1,P0,0.5446216489090914,0.5441902942399475,0.5025699078883293,0.5872384181785955,5000
pain,2013-2015,F1,P1,P1,0.0507191262168398,0.0505401397310439,0.0440459896111779,0.0582812147015902,5000
pain,2013-2015,F1,P1,P2,0.3869490044423562,0.3826290996038553,0.3397490294022615,0.4218213538020686,5000
pain,2013-2015,F1,P1,D,0.0177102204317118,0.0196691003645154,0.0152412726837769,0.0517556905029014,5000
pain,2013-2015,F1,P2,P0,0.426437656751115,0.4283153359347433,0.3954701951263099,0.4641678724101618,5000
pain,2013-2015,F1,P2,P1,0.0524291738100504,0.0520563851289814,0.044298861629496,0.0622955363709964,5000
