domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2013-2015,P1,F0,F1,0.0989921638907661,0.0980006704580092,0.0872545719545502,0.1100219420314807,5000
function,2013-2015,P1,F0,F2,0.1596506053017228,0.1599018978730762,0.1466149198184072,0.175887791215683,5000
function,2013-2015,P1,F0,D,0.0125946490130525,0.0137179141563928,0.0098509913185179,0.0222698551197814,5000
function,2013-2015,P1,F1,F0,0.5025438892993986,0.4991015065000339,0.4537644557617443,0.5458195271762715,5000
function,2013-2015,P1,F1,F1,0.1949274041000595,0.1911787943171575,0.1552524685247654,0.2330790155493566,5000
function,2013-2015,P1,F1,F2,0.276136755412522,0.2741152795353992,0.2315997935399991,0.3212778072734076,5000
function,2013-2015,P1,F1,D,0.0263919511880195,0.0267755896558848,0.0150538630856417,0.0924886219371765,5000
function,2013-2015,P1,F2,F0,0.3583123815524939,0.357899525545392,0.3271628462579943,0.3928864372289294,5000
function,2013-2015,P1,F2,F1,0.1112342181582157,0.1102429754338904,0.0925674259752627,0.1325219977807097,5000
function,2013-2015,P1,F2,F2,0.5062338157535978,0.5044450172021131,0.4697673443964572,0.5391316188296877,5000
function,2013-2015,P1,F2,D,0.0242195845356924,0.0254284809470574,0.0200046598765809,0.0347256565354631,5000
function,2013-2015,P2,F0,F0,0.6746341605314645,0.6724584487263549,0.6541903808941895,0.6894671617516203,5000
function,2013-2015,P2,F0,F1,0.1071974650837913,0.1063097163941317,0.0954483257456012,0.1188908910841389,5000
function,2013-2015,P2,F0,F2,0.2095135580804838,0.2095536667422675,0.1941522025801376,0.2277409591746218,5000
function,2013-2015,P2,F0,D,0.0086548163042608,0.0100537160563487,0.0067904323398621,0.0223046583047579,5000
function,2013-2015,P2,F1,F0,0.5008727578609732,0.4969719982261753,0.4615788861103587,0.5321191413693097,5000
function,2013-2015,P2,F1,F1,0.1777133079463863,0.1752091496123352,0.1480261104701202,0.2070785531582777,5000
function,2013-2015,P2,F1,F2,0.2986736982644971,0.2965472690082771,0.2613457276829714,0.3349421206170281,5000
function,2013-2015,P2,F1,D,0.0227402359281436,0.0239569602870944,0.0130528655823488,0.0856678314180711,5000
