domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2013-2015,F1,P2,P1,0.05242917381005042,0.05205638512898146,0.044298861629496006,0.062295536370996475,5000
pain,2013-2015,F1,P2,P2,0.5060153261095485,0.5016982504882305,0.46470814400494703,0.5346525067826713,5000
pain,2013-2015,F1,P2,D,0.015117843329285594,0.016765423516825508,0.012159610987799448,0.029515940796447114,5000
pain,2013-2015,F2,P0,P0,0.6483493221333462,0.6487034583453579,0.6175169482670448,0.6777096318214259,5000
pain,2013-2015,F2,P0,P1,0.05786748010356554,0.05761709772306041,0.0504696426459988,0.06650579154441491,5000
pain,2013-2015,F2,P0,P2,0.26047957561909374,0.25858012712787615,0.23023212693829936,0.2894449818668423,5000
pain,2013-2015,F2,P0,D,0.03330362214399446,0.03420071147195167,0.026465486691763282,0.045927776049552796,5000
pain,2013-2015,F2,P1,P0,0.49542498520928796,0.4954152344189109,0.4621603554791263,0.5310730995431351,5000
pain,2013-2015,F2,P1,P1,0.05444018942967518,0.05464090915298855,0.0488407535896776,0.06139197102095872,5000
pain,2013-2015,F2,P1,P2,0.4221984773805599,0.42040094210814716,0.3834244918061105,0.454052606400505,5000
pain,2013-2015,F2,P1,D,0.027936347980477397,0.0293292327897652,0.02384084235914008,0.038395080666699416,5000
pain,2013-2015,F2,P2,P0,0.36198214657907535,0.36275526288912086,0.337878828365533,0.3896913959160454,5000
pain,2013-2015,F2,P2,P1,0.05151628802111662,0.05152187733950826,0.04496724290222091,0.060205893810775575,5000
pain,2013-2015,F2,P2,P2,0.5647974637932387,0.5622630527461244,0.5330356522988852,0.589479330642815,5000
pain,2013-2015,F2,P2,D,0.021704101606569742,0.022542816952603222,0.01748895770241533,0.03078826701596904,5000
pain,2015-2018,F0,P0,P0,0.6327315266114707,0.6309864201076558,0.6148834490753115,0.6446597828435838,5000
pain,2015-2018,F0,P0,P1,0.1216107017029139,0.12052644380756311,0.10668469787258943,0.13075141784557673,5000
pain,2015-2018,F0,P0,P2,0.23596130108662433,0.2363136809183309,0.22639348822060518,0.25002016206810446,5000
